Medium,Name,Link,Follower,Engagement,Average Impression,,TOTAL ENG,ESTIMATED TOTAL IMPRESSION,Total Follower
LinkedIn,Yiğit DEDEOĞLU,https://www.linkedin.com/posts/activity-7385436927795277824-OuTx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,,860,,,,,
LinkedIn,Özgür Keleş,https://www.linkedin.com/posts/%C3%B6zg%C3%BCr-kele%C5%9F_yaya-g%C3%BCvenli%C4%9Finde-yeni-bir-ad%C4%B1m-tuzla-belediyesi-activity-7379440689438244864-DnJr?utm_source=share&utm_medium=member_desktop&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,21561,15,3025,,,,
LinkedIn,Yol Güvenliği & Sürüş Teknikleri,https://www.linkedin.com/posts/surusteknikleri_trafik-yaya-tuzla-activity-7385910197594095616-WxPz?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,3282,20,1389,,,,
LinkedIn,Samet Keskin,https://www.linkedin.com/posts/ksknsmt_veri-verigaemrselleagntirme-kent-activity-7381946575045955584-PlwY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,5685,150,1896,,,,
LinkedIn,Social Responsibility,https://www.linkedin.com/posts/sosyalsorumluluk_tuzladan-hayat-kurtaran-fark%C4%B1ndal%C4%B1k-activity-7392469397535096832-UGRe?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,43860,400,6141,,,,
LinkedIn,AdPorn™,https://www.linkedin.com/posts/adporn_yayageaexidindedur-kazalaraftdurdur-farkaftndalaftkyarat-activity-7378661775073828864-jXKh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,130613,145,25272,,,,
LinkedIn,Ajansgiller,https://www.linkedin.com/posts/ajansgiller_yaya-ge%C3%A7itlerinde-fark%C4%B1ndal%C4%B1k-activity-7378420909247754241-4ZPr?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,42617,26,6141,,,,
LinkedIn, Berke Deniz Külahçi,https://www.linkedin.com/posts/berkedenizk%C3%BClah%C3%A7i_goodadsmatter-marketing-branding-ugcPost-7409182210102202368-G6NR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,721,16,531,,,,
LinkedIn,iranads.club,https://www.linkedin.com/posts/iranads%2Eclub_%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%D8%A8%D9%88%D9%84-%D8%A8%D9%87-%DB%8C%DA%A9%DB%8C-%D8%A7%D8%B2-%D8%AE%D9%84%D8%A7%D9%82%D8%A7%D9%86%D9%87%D8%AA%D8%B1%DB%8C%D9%86-activity-7382995975734431744-HaKc?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,2544,18,1389,,,,
Website,Bigumigu,https://bigumigu.com/haber/yaya-gecitlerindeki-kazalar-bu-kez-gecidi-genisletiyor/,,,11500,,,,
Website,Ajansgiller,https://ajansgiller.com/yaya-gecidi-guvenligi-tuzla-belediyesi/,,,2100,,,,
Website,Kamu Son Haber,https://www.kamusonhaber.com.tr/tuzlada-yaya-guvenligi-icin-etkileyici-bir-uygulama-186500h.htm,,,1800,,,,
Facebook,Lürzer's Archive,https://www.facebook.com/luerzersarchive/posts/ooh-best-of-the-week-crosswalk-accident-chart-by-concept_istanbul-for-tuzla-muni/1228050302676099/,83000,50,5100,,,,
